3526 0 3 
1	1	3673	1	10220
1	1	3101	3	9875
1	1	5247	828	18553
1	1	1436	68	3575
1	2	3993	4	16620
1	1	1446	77	3613
1	2	2270	6780	16516
1	2	1397	56	4035
1	3	2921	9254	14966
1	3	3109	1	16928
1	2	3470	8	9966
1	1	5327	696	18691
1	4	3447	5	11340
1	4	3961	2	16587
1	2	2916	303	14961
1	1	4808	823	13569
1	5	2126	5	16770
1	3	5466	215	13392
1	4	5996	12	11902
1	1	1866	796	13488
1	5	1538	44	4101
1	3	4083	8	16740
1	4	3966	6	16597
1	2	2919	332	14963
1	4	6000	1399	19841
1	4	644	55	2640
1	4	6733	49	19998
1	5	4312	311	6586
1	3	6171	1425	20157
1	3	901	40	3995
1	3	2220	6727	20225
1	5	4830	26	12973
1	3	5082	9254	18352
1	3	2375	6876	19022
1	4	6634	52	18204
1	4	1853	6302	19872
1	6	4419	14	6606
1	6	4484	14	6407
1	3	1908	11	6807
1	3	6174	1808	6533
1	4	1959	12	6991
1	4	5017	1172	10679
1	2	4422	398	11527
1	2	4564	895	6678
1	6	4409	800	10669
1	6	4519	655	10948
1	5	4391	409	12074
1	5	4220	345	10768
1	5	533	36	3958
1	5	1268	36	4221
1	4	6302	37	15121
1	4	1956	351	10067
1	2	5474	23	6299
1	3	549	40	4426
1	3	3758	7	11555
1	3	6218	1821	10237
1	3	7907	43	18002
1	5	5144	964	12025
1	4	6777	37	15717
1	2	5278	24	12749
1	1	2148	77	11437
1	2	4248	10	7861
1	5	5786	1057	19472
1	6	4158	257	6402
1	2	4257	6780	17004
1	6	1269	48	4420
1	1	4645	16	8486
1	4	4331	16	17573
1	5	631	50	4111
1	5	4307	532	10458
1	5	1064	139	4121
1	6	5784	617	6840
1	5	815	50	4764
1	4	6091	1778	8669
1	2	1144	122	3120
1	4	3361	283	10526
1	1	5405	1273	18835
1	2	3141	321	8495
1	6	864	59	4070
1	6	3475	331	8706
1	2	8843	62	17463
1	3	5472	702	12539
1	6	627	59	2570
1	2	6153	1801	6347
1	1	4711	976	17696
1	3	3379	342	8634
1	5	979	67	4064
1	5	4404	27	18062
1	5	626	36	2229
1	1	2140	68	10623
1	4	4330	82	7571
1	4	4304	197	10470
1	3	1905	260	10248
1	3	5473	702	11718
1	3	549	113	6802
1	1	1573	221	12847
1	5	1064	50	4313
1	5	5219	532	9675
1	4	762	98	4340
1	4	4330	317	11844
1	6	2418	353	6305
1	6	5220	800	10653
1	5	578	67	4109
1	1	4927	27	18065
1	2	667	46	4249
1	2	554	201	9768
1	3	5080	138	8618
1	3	4682	267	6981
1	4	939	55	4629
1	4	4340	283	10256
1	5	3083	409	6325
1	5	5195	964	12006
1	6	1105	47	4159
1	6	5226	655	10898
1	4	939	107	6986
1	1	1458	310	10630
1	4	4304	75	7769
1	4	4632	319	6755
1	3	4682	97	7092
1	3	2515	342	11700
1	6	1272	59	4485
1	6	3430	331	8541
1	2	724	164	4255
1	2	5279	582	11764
1	2	1144	56	4423
1	2	4182	321	9987
1	5	1257	67	4392
1	5	4403	423	10031
1	6	639	51	4316
1	6	5785	617	9993
1	3	4214	7652	19046
1	3	5080	445	11944
1	5	845	44	4827
1	5	4868	442	11566
1	2	885	95	4538
1	2	4255	387	10377
1	4	941	195	7776
1	5	1268	78	3957
1	4	3975	350	9722
1	6	1269	83	2418
1	4	3009	17	10445
1	4	736	4304	10470
1	1	3522	2	9679
1	1	2468	68	10618
1	1	5496	346	12601
1	5	3963	533	9694
1	2	3985	360	9771
1	3	1133	76	4239
1	4	3036	21	10656
1	4	546	196	9699
1	1	2148	229	7998
1	1	4939	816	13749
1	3	5097	421	11953
1	5	845	103	8265
1	1	1865	208	12328
1	1	5291	16	17576
