48	0	3
1	1	9	1	18
1	1	9	3	25
1	1	9	1	27
1	1	9	2	16
1	2	10	4	23
1	1	4	9	25
1	2	10	6	22
1	2	10	3	24
1	3	11	7	20
1	3	11	1	19
1	2	8	10	23
1	1	4	9	18
1	4	12	5	21
1	4	12	2	17
1	2	6	10	24
1	1	3	9	16
1	5	13	5	26
1	3	7	11	19
1	4	5	12	17
1	1	2	9	27
1	5	7	13	26
1	3	8	11	20
1	4	6	12	21
1	2	8	10	22
1	4	12	2	16
1	4	3	12	16
1	5	13	2	17
1	5	5	13	17
1	3	11	1	18
1	3	4	11	18
1	5	13	1	19
1	5	7	13	19
1	6	14	7	20
1	6	8	14	20
1	6	14	5	21
1	6	6	14	21
1	6	14	6	22
1	6	8	14	22
1	3	11	4	23
1	3	8	11	23
1	4	12	3	24
1	4	6	12	24
1	2	10	3	25
1	2	4	10	25
1	6	14	5	26
1	6	7	14	26
1	5	13	1	27
1	5	2	13	27
